Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Watt-hr,Current(A),Voltage(V),DPt Time,Temp 1,EV Temp
871,11,"5,592,099.47",  0d 00:52:40.05,"1,215.9423","4,788.06",468.7572,4.1998,1,29.66,0.0
871,11,"5,592,104.47",  0d 00:52:45.05,"1,216.5915","4,790.78",466.3157,4.1998,1,29.54,0.0
871,11,"5,592,109.47",  0d 00:52:50.05,"1,217.2359","4,793.49",462.0432,4.2000,1,29.51,0.0
871,11,"5,592,114.47",  0d 00:52:55.05,"1,217.8757","4,796.18",458.5336,4.1997,1,29.59,0.0
871,11,"5,592,119.47",  0d 00:53:00.05,"1,218.5115","4,798.85",455.8633,4.2001,1,29.62,0.0
871,11,"5,592,124.47",  0d 00:53:05.05,"1,219.1429","4,801.50",452.9641,4.2000,1,29.54,0.0
871,11,"5,592,129.47",  0d 00:53:10.05,"1,219.7688","4,804.13",448.9204,4.2000,1,29.46,0.0
871,11,"5,592,134.47",  0d 00:53:15.05,"1,220.3905","4,806.74",446.9368,4.2000,1,29.52,0.0
871,11,"5,592,139.47",  0d 00:53:20.05,"1,221.0080","4,809.33",442.8168,4.1997,1,29.59,0.0
871,11,"5,592,144.47",  0d 00:53:25.05,"1,221.6214","4,811.91",439.9176,4.2000,1,29.56,0.0
871,11,"5,592,149.47",  0d 00:53:30.05,"1,222.2307","4,814.47",436.7895,4.2001,1,29.46,0.0
871,11,"5,592,154.47",  0d 00:53:35.05,"1,222.8359","4,817.01",434.1192,4.2000,1,29.47,0.0
871,11,"5,592,159.47",  0d 00:53:40.05,"1,223.4366","4,819.53",431.6777,4.2000,1,29.56,0.0
871,11,"5,592,164.47",  0d 00:53:45.05,"1,224.0332","4,822.04",427.2526,4.1998,1,29.57,0.0
871,11,"5,592,169.47",  0d 00:53:50.05,"1,224.6258","4,824.53",424.4297,4.2001,1,29.46,0.0
871,11,"5,592,174.47",  0d 00:53:55.05,"1,225.2139","4,827.00",422.4460,4.2000,1,29.41,0.0
871,11,"5,592,179.47",  0d 00:54:00.05,"1,225.7979","4,829.45",419.3179,4.2000,1,29.49,0.0
871,11,"5,592,184.47",  0d 00:54:05.05,"1,226.3783","4,831.89",416.2661,4.2000,1,29.54,0.0
871,11,"5,592,189.47",  0d 00:54:10.05,"1,226.9549","4,834.31",413.3669,4.2000,1,29.47,0.0
871,11,"5,592,194.47",  0d 00:54:15.05,"1,227.5283","4,836.72",411.5358,4.2001,1,29.41,0.0
871,11,"5,592,199.47",  0d 00:54:20.05,"1,228.0970","4,839.11",407.8737,4.2000,1,29.47,0.0
871,11,"5,592,204.47",  0d 00:54:25.05,"1,228.6623","4,841.48",406.3478,4.1998,1,29.56,0.0
871,11,"5,592,209.47",  0d 00:54:30.05,"1,229.2241","4,843.84",403.0671,4.2001,1,29.52,0.0
871,11,"5,592,214.47",  0d 00:54:35.05,"1,229.7821","4,846.18",400.0153,4.1998,1,29.41,0.0
871,11,"5,592,219.47",  0d 00:54:40.05,"1,230.3369","4,848.51",398.6419,4.1998,1,29.42,0.0
871,11,"5,592,224.47",  0d 00:54:45.05,"1,230.8877","4,850.83",394.8272,4.2000,1,29.54,0.0
871,11,"5,592,229.47",  0d 00:54:50.05,"1,231.4354","4,853.13",393.6065,4.1998,1,29.52,0.0
871,11,"5,592,234.47",  0d 00:54:55.05,"1,231.9796","4,855.41",391.0124,4.2003,1,29.41,0.0
871,11,"5,592,239.47",  0d 00:55:00.05,"1,232.5202","4,857.68",388.0369,4.1998,1,29.37,0.0
871,11,"5,592,244.47",  0d 00:55:05.05,"1,233.0575","4,859.94",384.9851,4.2000,1,29.46,0.0
871,11,"5,592,249.47",  0d 00:55:10.05,"1,233.5911","4,862.18",383.0777,4.2000,1,29.52,0.0
871,11,"5,592,254.47",  0d 00:55:15.05,"1,234.1218","4,864.41",381.2467,4.2000,1,29.46,0.0
871,11,"5,592,259.47",  0d 00:55:20.05,"1,234.6486","4,866.62",378.4237,4.1998,1,29.37,0.0
871,11,"5,592,264.47",  0d 00:55:25.05,"1,235.1722","4,868.82",375.4482,4.2000,1,29.42,0.0
871,11,"5,592,269.47",  0d 00:55:30.05,"1,235.6929","4,871.01",374.2275,4.2000,1,29.51,0.0
871,11,"5,592,274.47",  0d 00:55:35.05,"1,236.2106","4,873.18",372.3201,4.2000,1,29.47,0.0
871,11,"5,592,279.47",  0d 00:55:40.05,"1,236.7256","4,875.35",369.5735,4.2001,1,29.36,0.0
871,11,"5,592,284.47",  0d 00:55:45.05,"1,237.2376","4,877.50",367.5135,4.2001,1,29.39,0.0
871,11,"5,592,289.47",  0d 00:55:50.05,"1,237.7464","4,879.63",365.5299,4.2000,1,29.49,0.0
871,11,"5,592,294.47",  0d 00:55:55.05,"1,238.2520","4,881.76",362.5544,4.1995,1,29.49,0.0
871,11,"5,592,299.47",  0d 00:56:00.05,"1,238.7547","4,883.87",360.4944,4.2000,1,29.39,0.0
871,11,"5,592,304.47",  0d 00:56:05.05,"1,239.2534","4,885.96",358.9685,4.2001,1,29.34,0.0
871,11,"5,592,309.47",  0d 00:56:10.05,"1,239.7500","4,888.05",356.4508,4.2000,1,29.44,0.0
871,11,"5,592,314.47",  0d 00:56:15.05,"1,240.2435","4,890.12",353.8567,4.1998,1,29.47,0.0
871,11,"5,592,319.47",  0d 00:56:20.05,"1,240.7344","4,892.18",352.9412,4.1998,1,29.41,0.0
871,11,"5,592,324.47",  0d 00:56:25.05,"1,241.2228","4,894.23",350.3471,4.1998,1,29.34,0.0
871,11,"5,592,329.47",  0d 00:56:30.05,"1,241.7075","4,896.27",347.9057,4.2000,1,29.42,0.0
871,11,"5,592,334.47",  0d 00:56:35.05,"1,242.1899","4,898.29",346.3798,4.2000,1,29.47,0.0
871,11,"5,592,339.47",  0d 00:56:40.05,"1,242.6696","4,900.31",344.9302,4.2000,1,29.42,0.0
871,11,"5,592,344.47",  0d 00:56:45.05,"1,243.1458","4,902.31",341.6495,4.1997,1,29.31,0.0
871,11,"5,592,349.47",  0d 00:56:50.05,"1,243.6198","4,904.30",340.0473,4.2000,1,29.33,0.0
871,11,"5,592,354.47",  0d 00:56:55.05,"1,244.0917","4,906.28",339.2081,4.2000,1,29.44,0.0
871,11,"5,592,359.47",  0d 00:57:00.05,"1,244.5610","4,908.25",336.9955,4.2000,1,29.46,0.0
871,11,"5,592,364.47",  0d 00:57:05.05,"1,245.0272","4,910.21",334.4015,4.1998,1,29.37,0.0
871,11,"5,592,369.47",  0d 00:57:10.05,"1,245.4909","4,912.16",334.0963,4.2000,1,29.33,0.0
871,11,"5,592,374.47",  0d 00:57:15.05,"1,245.9525","4,914.10",331.1208,4.1998,1,29.41,0.0
871,11,"5,592,379.47",  0d 00:57:20.05,"1,246.4112","4,916.02",329.3660,4.2000,1,29.47,0.0
871,11,"5,592,384.47",  0d 00:57:25.05,"1,246.8677","4,917.94",327.6112,4.1998,1,29.39,0.0
871,11,"5,592,389.47",  0d 00:57:30.05,"1,247.3219","4,919.85",326.1616,4.2001,1,29.31,0.0
871,11,"5,592,394.47",  0d 00:57:35.05,"1,247.7735","4,921.75",323.9490,4.2000,1,29.39,0.0
871,11,"5,592,399.47",  0d 00:57:40.05,"1,248.2224","4,923.63",321.8128,4.1998,1,29.49,0.0
871,11,"5,592,404.47",  0d 00:57:45.05,"1,248.6688","4,925.51",320.6683,4.1998,1,29.44,0.0
871,11,"5,592,409.47",  0d 00:57:50.05,"1,249.1130","4,927.37",319.0661,4.1998,1,29.44,0.0
871,11,"5,592,414.47",  0d 00:57:55.05,"1,249.5550","4,929.23",316.3958,4.2001,1,29.42,0.0
871,11,"5,592,419.47",  0d 00:58:00.05,"1,249.9938","4,931.07",315.5566,4.1998,1,29.44,0.0
871,11,"5,592,424.47",  0d 00:58:05.05,"1,250.4300","4,932.90",313.3440,4.1998,1,29.42,0.0
871,11,"5,592,429.47",  0d 00:58:10.05,"1,250.8647","4,934.73",311.5892,4.2003,1,29.31,0.0
871,11,"5,592,434.47",  0d 00:58:15.05,"1,251.2971","4,936.54",309.9107,4.2000,1,29.28,0.0
871,11,"5,592,439.47",  0d 00:58:20.05,"1,251.7272","4,938.35",308.6900,4.1998,1,29.37,0.0
871,11,"5,592,444.47",  0d 00:58:25.05,"1,252.1552","4,940.15",306.9352,4.2001,1,29.44,0.0
871,11,"5,592,449.47",  0d 00:58:30.05,"1,252.5812","4,941.94",305.1804,4.2000,1,29.37,0.0
871,11,"5,592,454.47",  0d 00:58:35.05,"1,253.0050","4,943.72",304.1886,4.1998,1,29.29,0.0
871,11,"5,592,459.47",  0d 00:58:40.05,"1,253.4266","4,945.49",302.3575,4.1998,1,29.37,0.0
871,11,"5,592,464.47",  0d 00:58:45.05,"1,253.8461","4,947.25",301.5946,4.2000,1,29.44,0.0
871,11,"5,592,469.47",  0d 00:58:50.05,"1,254.2633","4,949.00",299.7635,4.1998,1,29.37,0.0
871,11,"5,592,474.47",  0d 00:58:55.05,"1,254.6784","4,950.75",298.6191,4.1998,1,29.28,0.0
871,11,"5,592,479.47",  0d 00:59:00.05,"1,255.0909","4,952.48",296.1013,4.1998,1,29.31,0.0
871,11,"5,592,484.47",  0d 00:59:05.05,"1,255.5011","4,954.20",294.4991,4.1998,1,29.39,0.0
871,11,"5,592,489.47",  0d 00:59:10.05,"1,255.9097","4,955.92",293.4310,4.1998,1,29.39,0.0
871,11,"5,592,494.47",  0d 00:59:15.05,"1,256.3161","4,957.62",291.7525,4.1998,1,29.29,0.0
871,11,"5,592,499.47",  0d 00:59:20.05,"1,256.7210","4,959.32",289.9214,4.1998,1,29.26,0.0
871,11,"5,592,504.47",  0d 00:59:25.05,"1,257.1231","4,961.01",288.9296,4.1998,1,29.34,0.0
871,11,"5,592,509.47",  0d 00:59:30.05,"1,257.5237","4,962.70",287.0985,4.1998,1,29.39,0.0
871,11,"5,592,514.47",  0d 00:59:35.05,"1,257.9222","4,964.37",286.3355,4.2000,1,29.31,0.0
871,11,"5,592,519.47",  0d 00:59:40.05,"1,258.3186","4,966.03",285.1148,4.2000,1,29.23,0.0
871,11,"5,592,524.47",  0d 00:59:45.05,"1,258.7128","4,967.69",284.0467,4.1998,1,29.31,0.0
871,11,"5,592,529.47",  0d 00:59:50.05,"1,259.1058","4,969.34",281.9867,4.1997,1,29.39,0.0
871,11,"5,592,534.47",  0d 00:59:55.05,"1,259.4961","4,970.98",280.4608,4.2001,1,29.36,0.0
871,11,"5,592,539.42",  0d 01:00:00.00,"1,259.8805","4,972.59",278.6297,4.1998,129,29.24,0.0
871,13,"5,592,544.48",  0d 00:00:00.06,0.0235,0.10,"2,999.6185",4.0990,0,29.26,0.0
871,13,"5,592,549.48",  0d 00:00:05.06,4.1902,16.91,"2,999.9237",4.0172,1,29.34,0.0
871,13,"5,592,554.48",  0d 00:00:10.06,8.3568,33.60,"3,000.0000",3.9972,1,29.33,0.0
871,13,"5,592,559.48",  0d 00:00:15.06,12.5234,50.23,"3,000.2289",3.9836,1,29.24,0.0
871,13,"5,592,564.48",  0d 00:00:20.06,16.6900,66.80,"3,000.0763",3.9732,1,29.24,0.0
871,13,"5,592,569.48",  0d 00:00:25.06,20.8567,83.34,"2,999.9237",3.9650,1,29.36,0.0
871,13,"5,592,574.48",  0d 00:00:30.06,25.0233,99.84,"2,999.9237",3.9578,1,29.42,0.0
871,13,"5,592,579.48",  0d 00:00:35.06,29.1899,116.32,"2,999.9237",3.9519,1,29.34,0.0
871,13,"5,592,584.48",  0d 00:00:40.06,33.3565,132.78,"3,000.1526",3.9468,1,29.33,0.0
871,13,"5,592,589.48",  0d 00:00:45.06,37.5232,149.21,"2,999.9237",3.9419,1,29.44,0.0
871,13,"5,592,594.48",  0d 00:00:50.06,41.6898,165.63,"2,999.8474",3.9378,1,29.52,0.0
871,13,"5,592,599.48",  0d 00:00:55.06,45.8564,182.03,"3,000.0000",3.9335,1,29.47,0.0
871,13,"5,592,604.48",  0d 00:01:00.06,50.0230,198.41,"3,000.0000",3.9296,1,29.41,0.0
871,13,"5,592,609.48",  0d 00:01:05.06,54.1897,214.77,"3,000.0000",3.9256,1,29.47,0.0
871,13,"5,592,614.48",  0d 00:01:10.06,58.3563,231.12,"2,999.9237",3.9216,1,29.59,0.0
871,13,"5,592,619.48",  0d 00:01:15.06,62.5229,247.45,"2,999.8474",3.9181,1,29.59,0.0
871,13,"5,592,624.48",  0d 00:01:20.06,66.6895,263.77,"2,999.8474",3.9143,1,29.52,0.0
871,13,"5,592,629.48",  0d 00:01:25.06,70.8562,280.07,"3,000.0763",3.9105,1,29.57,0.0
871,13,"5,592,634.48",  0d 00:01:30.06,75.0228,296.36,"2,999.9237",3.9067,1,29.71,0.0
871,13,"5,592,639.48",  0d 00:01:35.06,79.1894,312.63,"2,999.9237",3.9029,1,29.77,0.0
871,13,"5,592,644.48",  0d 00:01:40.06,83.3561,328.88,"2,999.9237",3.8992,1,29.74,0.0
871,13,"5,592,649.48",  0d 00:01:45.06,87.5227,345.12,"3,000.0763",3.8952,1,29.71,0.0
871,13,"5,592,654.48",  0d 00:01:50.06,91.6893,361.34,"2,999.9237",3.8916,1,29.80,0.0
871,13,"5,592,659.48",  0d 00:01:55.06,95.8559,377.55,"3,000.0000",3.8876,1,29.90,0.0
871,13,"5,592,664.48",  0d 00:02:00.06,100.0226,393.74,"2,999.9237",3.8840,1,29.89,0.0
871,13,"5,592,669.48",  0d 00:02:05.06,104.1892,409.91,"3,000.0000",3.8801,1,29.80,0.0
871,13,"5,592,674.48",  0d 00:02:10.06,108.3558,426.07,"3,000.0000",3.8763,1,29.89,0.0
871,13,"5,592,679.48",  0d 00:02:15.06,112.5224,442.22,"2,999.9237",3.8728,1,30.02,0.0
871,13,"5,592,684.48",  0d 00:02:20.06,116.6891,458.35,"2,999.9237",3.8692,1,30.02,0.0
871,13,"5,592,689.48",  0d 00:02:25.06,120.8557,474.46,"2,999.7711",3.8652,1,29.95,0.0
871,13,"5,592,694.48",  0d 00:02:30.06,125.0223,490.56,"2,999.9237",3.8618,1,30.00,0.0
871,13,"5,592,699.48",  0d 00:02:35.06,129.1889,506.64,"3,000.0000",3.8580,1,30.12,0.0
871,13,"5,592,704.48",  0d 00:02:40.06,133.3556,522.71,"3,000.0000",3.8542,1,30.15,0.0
871,13,"5,592,709.48",  0d 00:02:45.06,137.5222,538.76,"2,999.8474",3.8507,1,30.08,0.0
871,13,"5,592,714.48",  0d 00:02:50.06,141.6888,554.80,"3,000.0000",3.8473,1,30.07,0.0
871,13,"5,592,719.48",  0d 00:02:55.06,145.8554,570.82,"3,000.0000",3.8437,1,30.13,0.0
871,13,"5,592,724.48",  0d 00:03:00.06,150.0221,586.83,"3,000.0000",3.8403,1,30.21,0.0
871,13,"5,592,729.48",  0d 00:03:05.06,154.1887,602.82,"3,000.1526",3.8368,1,30.20,0.0
871,13,"5,592,734.48",  0d 00:03:10.06,158.3553,618.80,"2,999.9237",3.8334,1,30.16,0.0
871,13,"5,592,739.48",  0d 00:03:15.06,162.5220,634.77,"3,000.0763",3.8299,1,30.24,0.0
871,13,"5,592,744.48",  0d 00:03:20.06,166.6886,650.72,"2,999.9237",3.8267,1,30.34,0.0
871,13,"5,592,749.48",  0d 00:03:25.06,170.8552,666.66,"2,999.9237",3.8235,1,30.33,0.0
871,13,"5,592,754.48",  0d 00:03:30.06,175.0218,682.58,"3,000.0000",3.8203,1,30.24,0.0
871,13,"5,592,759.48",  0d 00:03:35.06,179.1885,698.49,"2,999.9237",3.8168,1,30.28,0.0
871,13,"5,592,764.48",  0d 00:03:40.06,183.3551,714.39,"2,999.9237",3.8139,1,30.37,0.0
871,13,"5,592,769.48",  0d 00:03:45.06,187.5217,730.27,"2,999.9237",3.8110,1,30.39,0.0
871,13,"5,592,774.48",  0d 00:03:50.06,191.6883,746.14,"2,999.9237",3.8077,1,30.31,0.0
871,13,"5,592,779.48",  0d 00:03:55.06,195.8550,762.00,"2,999.8474",3.8046,1,30.31,0.0
871,13,"5,592,784.48",  0d 00:04:00.06,200.0216,777.85,"2,999.9237",3.8016,1,30.41,0.0
871,13,"5,592,789.48",  0d 00:04:05.06,204.1882,793.68,"2,999.9237",3.7984,1,30.49,0.0
871,13,"5,592,794.48",  0d 00:04:10.06,208.3548,809.50,"3,000.0000",3.7956,1,30.44,0.0
871,13,"5,592,799.48",  0d 00:04:15.06,212.5215,825.31,"3,000.0000",3.7921,1,30.36,0.0
871,13,"5,592,804.48",  0d 00:04:20.06,216.6881,841.10,"2,999.9237",3.7893,1,30.44,0.0
871,13,"5,592,809.48",  0d 00:04:25.06,220.8547,856.89,"2,999.9237",3.7866,1,30.54,0.0
871,13,"5,592,814.48",  0d 00:04:30.06,225.0214,872.66,"3,000.0000",3.7834,1,30.54,0.0
871,13,"5,592,819.48",  0d 00:04:35.06,229.1880,888.41,"2,999.9237",3.7805,1,30.47,0.0
871,13,"5,592,824.48",  0d 00:04:40.06,233.3546,904.16,"3,000.0763",3.7773,1,30.50,0.0
871,13,"5,592,829.48",  0d 00:04:45.06,237.5212,919.89,"2,999.9237",3.7741,1,30.58,0.0
871,13,"5,592,834.48",  0d 00:04:50.06,241.6879,935.61,"3,000.0000",3.7715,1,30.60,0.0
871,13,"5,592,839.48",  0d 00:04:55.06,245.8545,951.32,"3,000.1526",3.7681,1,30.54,0.0
871,13,"5,592,844.48",  0d 00:05:00.06,250.0211,967.01,"3,000.0000",3.7654,1,30.52,0.0
871,13,"5,592,849.48",  0d 00:05:05.06,254.1877,982.69,"2,999.8474",3.7620,1,30.62,0.0
871,13,"5,592,854.48",  0d 00:05:10.06,258.3544,998.36,"3,000.0763",3.7591,1,30.66,0.0
871,13,"5,592,859.48",  0d 00:05:15.06,262.5210,"1,014.02","3,000.0000",3.7558,1,30.63,0.0
871,13,"5,592,864.48",  0d 00:05:20.06,266.6876,"1,029.66","3,000.0000",3.7529,1,30.57,0.0
871,13,"5,592,869.48",  0d 00:05:25.06,270.8543,"1,045.29","3,000.0000",3.7495,1,30.63,0.0
871,13,"5,592,874.48",  0d 00:05:30.06,275.0209,"1,060.91","3,000.0000",3.7463,1,30.73,0.0
871,13,"5,592,879.48",  0d 00:05:35.06,279.1875,"1,076.51","3,000.0000",3.7433,1,30.71,0.0
871,13,"5,592,884.48",  0d 00:05:40.06,283.3541,"1,092.10","2,999.9237",3.7401,1,30.62,0.0
871,13,"5,592,889.48",  0d 00:05:45.06,287.5208,"1,107.67","2,999.8474",3.7370,1,30.65,0.0
871,13,"5,592,894.48",  0d 00:05:50.06,291.6874,"1,123.24","2,999.9237",3.7337,1,30.75,0.0
871,13,"5,592,899.48",  0d 00:05:55.06,295.8540,"1,138.79","2,999.7711",3.7303,1,30.78,0.0
871,13,"5,592,904.48",  0d 00:06:00.06,300.0206,"1,154.32","2,999.9237",3.7269,1,30.70,0.0
871,13,"5,592,909.48",  0d 00:06:05.06,304.1873,"1,169.84","2,999.9237",3.7234,1,30.66,0.0
871,13,"5,592,914.48",  0d 00:06:10.06,308.3539,"1,185.35","2,999.9237",3.7201,1,30.78,0.0
871,13,"5,592,919.48",  0d 00:06:15.06,312.5205,"1,200.84","3,000.0000",3.7164,1,30.83,0.0
871,13,"5,592,924.48",  0d 00:06:20.06,316.6872,"1,216.32","2,999.8474",3.7131,1,30.78,0.0
871,13,"5,592,929.48",  0d 00:06:25.06,320.8538,"1,231.79","3,000.0000",3.7095,1,30.73,0.0
871,13,"5,592,934.48",  0d 00:06:30.06,325.0204,"1,247.23","3,000.0000",3.7060,1,30.79,0.0
871,13,"5,592,939.48",  0d 00:06:35.06,329.1870,"1,262.67","2,999.9237",3.7025,1,30.86,0.0
871,13,"5,592,944.48",  0d 00:06:40.06,333.3537,"1,278.09","2,999.9237",3.6987,1,30.84,0.0
871,13,"5,592,949.48",  0d 00:06:45.06,337.5203,"1,293.49","2,999.8474",3.6947,1,30.76,0.0
871,13,"5,592,954.48",  0d 00:06:50.06,341.6869,"1,308.88","3,000.0000",3.6908,1,30.79,0.0
871,13,"5,592,959.48",  0d 00:06:55.06,345.8535,"1,324.25","2,999.9237",3.6865,1,30.92,0.0
871,13,"5,592,964.48",  0d 00:07:00.06,350.0202,"1,339.60","3,000.0000",3.6825,1,30.97,0.0
871,13,"5,592,969.48",  0d 00:07:05.06,354.1868,"1,354.93","3,000.0763",3.6783,1,30.84,0.0
871,13,"5,592,974.48",  0d 00:07:10.06,358.3534,"1,370.25","2,999.9237",3.6738,1,30.83,0.0
871,13,"5,592,979.48",  0d 00:07:15.06,362.5200,"1,385.55","3,000.0000",3.6691,1,30.94,0.0
871,13,"5,592,984.48",  0d 00:07:20.06,366.6867,"1,400.82","3,000.0000",3.6642,1,31.00,0.0
871,13,"5,592,989.48",  0d 00:07:25.06,370.8533,"1,416.08","3,000.0000",3.6590,1,30.94,0.0
871,13,"5,592,994.48",  0d 00:07:30.06,375.0199,"1,431.31","2,999.9237",3.6534,1,30.87,0.0
871,13,"5,592,999.48",  0d 00:07:35.06,379.1866,"1,446.52","3,000.0000",3.6476,1,30.95,0.0
871,13,"5,593,004.48",  0d 00:07:40.06,383.3532,"1,461.71","2,999.8474",3.6416,1,31.05,0.0
871,13,"5,593,009.48",  0d 00:07:45.06,387.5198,"1,476.87","2,999.8474",3.6351,1,31.04,0.0
871,13,"5,593,014.48",  0d 00:07:50.06,391.6864,"1,492.00","2,999.8474",3.6279,1,30.95,0.0
871,13,"5,593,019.48",  0d 00:07:55.06,395.8531,"1,507.10","2,999.9237",3.6206,1,30.97,0.0
871,13,"5,593,024.48",  0d 00:08:00.06,400.0197,"1,522.17","3,000.0763",3.6125,1,31.07,0.0
871,13,"5,593,029.48",  0d 00:08:05.06,404.1863,"1,537.20","3,000.0000",3.6036,1,31.10,0.0
871,13,"5,593,034.48",  0d 00:08:10.06,408.3530,"1,552.20","3,000.0000",3.5945,1,31.04,0.0
871,13,"5,593,039.48",  0d 00:08:15.06,412.5196,"1,567.15","3,000.0000",3.5843,1,31.02,0.0
871,13,"5,593,044.48",  0d 00:08:20.06,416.6862,"1,582.07","3,000.1526",3.5737,1,31.15,0.0
871,13,"5,593,049.48",  0d 00:08:25.06,420.8528,"1,596.94","2,999.9237",3.5632,1,31.21,0.0
871,13,"5,593,054.48",  0d 00:08:30.06,425.0195,"1,611.76","3,000.0000",3.5521,1,31.16,0.0
871,13,"5,593,059.48",  0d 00:08:35.06,429.1861,"1,626.53","3,000.1526",3.5408,1,31.12,0.0
871,13,"5,593,064.48",  0d 00:08:40.06,433.3527,"1,641.26","2,999.8474",3.5296,1,31.21,0.0
871,13,"5,593,069.48",  0d 00:08:45.06,437.5193,"1,655.95","3,000.0000",3.5190,1,31.33,0.0
871,13,"5,593,074.48",  0d 00:08:50.06,441.6860,"1,670.59","3,000.0000",3.5090,1,31.33,0.0
871,13,"5,593,079.48",  0d 00:08:55.06,445.8526,"1,685.19","2,999.9237",3.4990,1,31.26,0.0
871,13,"5,593,084.48",  0d 00:09:00.06,450.0192,"1,699.75","2,999.8474",3.4900,1,31.33,0.0
871,13,"5,593,089.48",  0d 00:09:05.06,454.1859,"1,714.27","3,000.0000",3.4814,1,31.44,0.0
871,13,"5,593,094.48",  0d 00:09:10.06,458.3525,"1,728.76","3,000.0000",3.4733,1,31.49,0.0
871,13,"5,593,099.48",  0d 00:09:15.06,462.5191,"1,743.22","2,999.9237",3.4659,1,31.44,0.0
871,13,"5,593,104.48",  0d 00:09:20.06,466.6857,"1,757.64","2,999.9237",3.4591,1,31.46,0.0
871,13,"5,593,109.48",  0d 00:09:25.06,470.8524,"1,772.04","3,000.0000",3.4526,1,31.58,0.0
871,13,"5,593,114.48",  0d 00:09:30.06,475.0190,"1,786.42","2,999.9237",3.4465,1,31.65,0.0
871,13,"5,593,119.48",  0d 00:09:35.06,479.1856,"1,800.76","3,000.0000",3.4405,1,31.60,0.0
871,13,"5,593,124.48",  0d 00:09:40.06,483.3522,"1,815.09","2,999.9237",3.4349,1,31.57,0.0
871,13,"5,593,129.48",  0d 00:09:45.06,487.5189,"1,829.39","3,000.1526",3.4292,1,31.68,0.0
871,13,"5,593,134.48",  0d 00:09:50.06,491.6855,"1,843.66","3,000.0763",3.4245,1,31.78,0.0
871,13,"5,593,139.48",  0d 00:09:55.06,495.8521,"1,857.92","2,999.8474",3.4195,1,31.78,0.0
871,13,"5,593,144.48",  0d 00:10:00.06,500.0188,"1,872.16","3,000.0763",3.4147,1,31.70,0.0
871,13,"5,593,149.48",  0d 00:10:05.06,504.1854,"1,886.38","2,999.9237",3.4099,1,31.75,0.0
871,13,"5,593,154.48",  0d 00:10:10.06,508.3520,"1,900.57","2,999.9237",3.4057,1,31.86,0.0
871,13,"5,593,159.48",  0d 00:10:15.06,512.5186,"1,914.75","3,000.0000",3.4009,1,31.91,0.0
871,13,"5,593,164.48",  0d 00:10:20.06,516.6853,"1,928.92","2,999.9237",3.3964,1,31.84,0.0
871,13,"5,593,169.48",  0d 00:10:25.06,520.8519,"1,943.06","2,999.6948",3.3925,1,31.84,0.0
871,13,"5,593,174.48",  0d 00:10:30.06,525.0185,"1,957.19","2,999.8474",3.3882,1,31.99,0.0
871,13,"5,593,179.48",  0d 00:10:35.06,529.1851,"1,971.30","2,999.9237",3.3841,1,32.04,0.0
871,13,"5,593,184.48",  0d 00:10:40.06,533.3518,"1,985.39","2,999.9237",3.3804,1,31.99,0.0
871,13,"5,593,189.48",  0d 00:10:45.06,537.5184,"1,999.46","2,999.9237",3.3761,1,31.94,0.0
871,13,"5,593,194.48",  0d 00:10:50.06,541.6850,"2,013.52","2,999.9237",3.3725,1,32.05,0.0
871,13,"5,593,199.48",  0d 00:10:55.06,545.8517,"2,027.57","3,000.0000",3.3688,1,32.15,0.0
871,13,"5,593,204.48",  0d 00:11:00.06,550.0183,"2,041.60","2,999.9237",3.3647,1,32.13,0.0
871,13,"5,593,209.48",  0d 00:11:05.06,554.1849,"2,055.61","3,000.0000",3.3612,1,32.05,0.0
871,13,"5,593,214.48",  0d 00:11:10.06,558.3515,"2,069.61","2,999.9237",3.3577,1,32.10,0.0
871,13,"5,593,219.48",  0d 00:11:15.06,562.5182,"2,083.59","3,000.0763",3.3537,1,32.21,0.0
871,13,"5,593,224.48",  0d 00:11:20.06,566.6848,"2,097.55","3,000.0000",3.3500,1,32.25,0.0
871,13,"5,593,229.48",  0d 00:11:25.06,570.8514,"2,111.50","3,000.0000",3.3464,1,32.18,0.0
871,13,"5,593,234.48",  0d 00:11:30.06,575.0180,"2,125.44","3,000.0763",3.3427,1,32.15,0.0
871,13,"5,593,239.48",  0d 00:11:35.06,579.1847,"2,139.36","3,000.0000",3.3392,1,32.26,0.0
871,13,"5,593,244.48",  0d 00:11:40.06,583.3513,"2,153.27","3,000.2289",3.3359,1,32.33,0.0
871,13,"5,593,249.48",  0d 00:11:45.06,587.5179,"2,167.16","3,000.0000",3.3320,1,32.28,0.0
871,13,"5,593,254.48",  0d 00:11:50.06,591.6845,"2,181.03","3,000.0000",3.3284,1,32.23,0.0
871,13,"5,593,259.48",  0d 00:11:55.06,595.8512,"2,194.90","2,999.9237",3.3250,1,32.31,0.0
871,13,"5,593,264.48",  0d 00:12:00.06,600.0178,"2,208.74","3,000.0763",3.3217,1,32.41,0.0
871,13,"5,593,269.48",  0d 00:12:05.06,604.1844,"2,222.58","3,000.0000",3.3182,1,32.41,0.0
871,13,"5,593,274.48",  0d 00:12:10.06,608.3511,"2,236.39","2,999.7711",3.3145,1,32.33,0.0
871,13,"5,593,279.48",  0d 00:12:15.06,612.5177,"2,250.20","3,000.0763",3.3110,1,32.37,0.0
871,13,"5,593,284.48",  0d 00:12:20.06,616.6843,"2,263.99","3,000.0000",3.3081,1,32.49,0.0
